passenger_id,flight_id
324156987,1001
324156988,1002
324156989,1001
324156990,1002
324156991,1001
324156992,1002
324156993,1001
324156994,1002
324156995,1001
324156996,1002
324156997,1001
324156998,1002
324156999,1001
324157000,1002
324157001,1001
324157002,1002
324157003,1001
324157004,1002
324157005,1001
324157006,1002
324157007,1001
324157008,1002
324157009,1001
324157010,1002
324157011,1001
324157012,1002
324157013,1001
324157014,1002
324157015,1001
324157016,1002
324157017,1001
324157018,1002
324157019,1001
324157020,1002
324157021,1001
324157022,1002
324157023,1001
324157024,1002
324157025,1001
324157026,1002
324157027,1001
324157028,1002
324157029,1001
324157030,1002
324157031,1001
324157032,1002
324157033,1001
324157034,1002
324157035,1001
324157036,1002
324157037,1001
324157038,1002
324157039,1001
324157040,1002
324157041,1001
324157042,1002
324157043,1001
324157044,1002
324157045,1001
324157046,1002
324157047,1001
324157048,1002
324157049,1001
324157050,1002
324157051,1001
324157052,1002
324157053,1001
324157054,1002
324157055,1001
324157056,1002
324157057,1001
324157058,1002
324157059,1001
324157060,1002
324157061,1001
324157062,1002
324157063,1001
324157064,1002
324157065,1001
324157066,1002
324157067,1001
324157068,1002
324157069,1001
324157070,1002
324157071,1001
324157072,1002
324157073,1001
324157074,1002
324157075,1001
324157076,1002
324157077,1001
324157078,1002
324157079,1001
324157080,1002
324157081,1001
324157082,1002
324157083,1001
324157084,1002
324157085,1001
324157086,1002
324157087,1001
324157088,1002
324157089,1001
324157090,1002
324157091,1001
324157092,1002
324157093,1001
324157094,1002
324157095,1001
324157096,1002
